teamId,abbreviation,displayName,slug,seasonType,eventId,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance,updateTime
132,MUN,Bayern Munich,ger.bayern_munich,12282,691203,1,70.2,9.0,0.0,0.0,3.0,11.0,3.0,19.0,5.0,0.3,0.0,0.0,628.0,697.0,0.9,6.0,30.0,0.2,32.0,24.0,0.8,7.0,11.0,18.0,0.6,8.0,4.0,4.0,2024-01-07 03:22:28
124,DOR,Borussia Dortmund,ger.dortmund,12282,693343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-07 03:22:28
124,DOR,Borussia Dortmund,ger.dortmund,12282,693344,0,69.3,7.0,0.0,0.0,2.0,8.0,4.0,14.0,8.0,0.6,0.0,0.0,695.0,772.0,0.9,9.0,16.0,0.6,75.0,53.0,0.7,2.0,9.0,14.0,0.6,12.0,5.0,5.0,2024-01-10 21:38:53
363,CHE,Chelsea,eng.chelsea,12282,700486,0,74.8,13.0,1.0,0.0,1.0,5.0,2.0,11.0,3.0,0.3,0.0,0.0,700.0,767.0,0.9,5.0,14.0,0.4,40.0,29.0,0.7,3.0,12.0,19.0,0.6,7.0,3.0,3.0,2024-07-25 10:42:24
359,ARS,Arsenal,eng.arsenal,12282,700487,0,58.0,10.0,0.0,0.0,5.0,3.0,2.0,6.0,3.0,0.5,0.0,0.0,381.0,449.0,0.8,2.0,7.0,0.3,49.0,24.0,0.5,2.0,9.0,13.0,0.7,11.0,16.0,16.0,2024-07-28 10:42:39
364,LIV,Liverpool,eng.liverpool,12282,700488,0,39.9,14.0,1.0,0.0,3.0,1.0,1.0,10.0,4.0,0.4,0.0,0.0,318.0,382.0,0.8,0.0,4.0,0.0,45.0,15.0,0.3,4.0,8.0,16.0,0.5,6.0,21.0,21.0,2024-08-02 08:14:24
359,ARS,Arsenal,eng.arsenal,12282,700488,1,60.1,6.0,0.0,0.0,4.0,6.0,2.0,13.0,2.0,0.2,0.0,0.0,502.0,568.0,0.9,4.0,15.0,0.3,56.0,30.0,0.5,4.0,12.0,16.0,0.8,10.0,7.0,7.0,2024-08-02 08:14:24
363,CHE,Chelsea,eng.chelsea,12282,700489,0,49.7,15.0,3.0,0.0,1.0,6.0,1.0,17.0,9.0,0.5,2.0,2.0,412.0,460.0,0.9,3.0,8.0,0.4,23.0,14.0,0.6,2.0,7.0,13.0,0.5,7.0,8.0,8.0,2024-08-02 08:14:24
364,LIV,Liverpool,eng.liverpool,12282,700490,1,52.9,15.0,0.0,0.0,1.0,2.0,8.0,9.0,5.0,0.6,0.0,0.0,453.0,527.0,0.9,1.0,6.0,0.2,41.0,16.0,0.4,2.0,5.0,10.0,0.5,10.0,17.0,17.0,2024-08-04 08:14:32
382,MNC,Manchester City,eng.man_city,12282,701272,0,47.0,5.0,0.0,0.0,1.0,5.0,2.0,16.0,9.0,0.6,0.0,0.0,384.0,432.0,0.9,4.0,7.0,0.6,28.0,16.0,0.6,4.0,7.0,9.0,0.8,4.0,2.0,2.0,2024-07-24 10:42:00
363,CHE,Chelsea,eng.chelsea,12282,701273,0,57.0,11.0,0.0,0.0,0.0,11.0,7.0,23.0,10.0,0.4,1.0,1.0,426.0,479.0,0.9,5.0,15.0,0.3,52.0,30.0,0.6,4.0,6.0,7.0,0.9,8.0,6.0,6.0,2024-07-28 10:42:37
382,MNC,Manchester City,eng.man_city,12282,701274,0,43.3,13.0,0.0,0.0,4.0,2.0,3.0,10.0,3.0,0.3,0.0,0.0,446.0,485.0,0.9,2.0,7.0,0.3,34.0,18.0,0.5,2.0,9.0,13.0,0.7,5.0,8.0,8.0,2024-07-28 10:42:38
83,BAR,Barcelona,esp.barcelona,12282,701275,0,42.9,14.0,1.0,0.0,1.0,3.0,4.0,10.0,3.0,0.3,0.0,0.0,405.0,451.0,0.9,3.0,16.0,0.2,44.0,29.0,0.7,5.0,12.0,21.0,0.6,11.0,26.0,26.0,2024-08-01 08:10:51
382,MNC,Manchester City,eng.man_city,12282,701275,1,57.1,8.0,2.0,0.0,0.0,4.0,1.0,16.0,6.0,0.4,0.0,0.0,548.0,607.0,0.9,3.0,15.0,0.2,47.0,26.0,0.6,6.0,12.0,16.0,0.8,10.0,11.0,11.0,2024-08-01 08:10:51
86,RMA,Real Madrid,esp.real_madrid,12282,701276,0,48.5,15.0,0.0,0.0,3.0,3.0,3.0,8.0,2.0,0.3,0.0,0.0,421.0,474.0,0.9,2.0,13.0,0.2,56.0,42.0,0.8,4.0,17.0,24.0,0.7,7.0,4.0,4.0,2024-08-02 08:14:25
86,RMA,Real Madrid,esp.real_madrid,12282,701277,0,50.4,14.0,2.0,0.0,1.0,6.0,4.0,11.0,3.0,0.3,0.0,0.0,501.0,548.0,0.9,4.0,11.0,0.4,41.0,30.0,0.7,6.0,12.0,16.0,0.8,10.0,10.0,10.0,2024-08-04 08:14:31
83,BAR,Barcelona,esp.barcelona,12282,701277,1,49.6,12.0,2.0,0.0,1.0,6.0,2.0,11.0,6.0,0.5,0.0,0.0,491.0,535.0,0.9,3.0,12.0,0.3,32.0,18.0,0.6,1.0,13.0,14.0,0.9,5.0,14.0,14.0,2024-08-04 08:14:31
382,MNC,Manchester City,eng.man_city,12282,701278,0,43.7,12.0,1.0,0.0,1.0,3.0,2.0,10.0,7.0,0.7,1.0,1.0,346.0,395.0,0.9,2.0,6.0,0.3,48.0,30.0,0.6,1.0,8.0,10.0,0.8,13.0,8.0,8.0,2024-08-04 08:14:30
363,CHE,Chelsea,eng.chelsea,12282,701278,1,56.3,15.0,3.0,0.0,0.0,3.0,3.0,12.0,4.0,0.3,0.0,0.0,448.0,501.0,0.9,4.0,11.0,0.4,36.0,22.0,0.6,3.0,17.0,23.0,0.7,13.0,5.0,5.0,2024-08-04 08:14:30
83,BAR,Barcelona,esp.barcelona,12282,701279,0,50.8,15.0,4.0,0.0,1.0,6.0,0.0,17.0,7.0,0.4,0.0,0.0,444.0,504.0,0.9,4.0,14.0,0.3,41.0,20.0,0.5,5.0,10.0,18.0,0.6,7.0,6.0,6.0,2024-08-07 08:18:00
86,RMA,Real Madrid,esp.real_madrid,12282,701280,0,56.6,10.0,1.0,0.0,1.0,6.0,2.0,14.0,3.0,0.2,0.0,0.0,545.0,592.0,0.9,2.0,13.0,0.2,42.0,30.0,0.7,3.0,12.0,17.0,0.7,7.0,8.0,8.0,2024-08-07 08:18:00
363,CHE,Chelsea,eng.chelsea,12282,701280,1,43.4,6.0,0.0,0.0,0.0,1.0,1.0,9.0,3.0,0.3,0.0,0.0,414.0,452.0,0.9,3.0,9.0,0.3,31.0,19.0,0.6,1.0,12.0,14.0,0.9,9.0,11.0,11.0,2024-08-07 08:18:00
132,MUN,Bayern Munich,ger.bayern_munich,12282,701540,1,55.1,13.0,2.0,0.0,2.0,4.0,1.0,21.0,7.0,0.3,0.0,0.0,453.0,515.0,0.9,6.0,9.0,0.7,55.0,43.0,0.8,3.0,16.0,26.0,0.6,13.0,16.0,16.0,2024-08-11 08:15:15
364,LIV,Liverpool,eng.liverpool,12282,702699,0,62.7,18.0,2.0,0.0,4.0,1.0,1.0,9.0,3.0,0.3,0.0,0.0,608.0,680.0,0.9,3.0,10.0,0.3,37.0,18.0,0.5,0.0,16.0,20.0,0.8,11.0,4.0,4.0,2024-07-27 10:42:50
86,RMA,Real Madrid,esp.real_madrid,12573,702700,0,51.8,12.0,2.0,0.0,0.0,5.0,1.0,13.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-16 08:16:26
382,MNC,Manchester City,eng.man_city,12585,702836,0,56.0,10.0,2.0,0.0,0.0,6.0,1.0,9.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-11 08:15:10
