YearsExperience,Salary
5.58,180164
4.53,66964
0.02,26523
29.1,262931
9.75,114223
2.02,43407
11.91,128499
4.21,65132
7.76,99100
14.38,157004
0.25,21631
4.4,65145
10.13,109057
13.75,142401
13.44,140172
7.83,94426
0.65,21831
7.01,84924
2.26,45678
14.23,146464
6.51,79986
2.47,35624
4.06,167426
14.93,157620
10.41,119469
12.07,135690
10.5,126686
5.12,67817
0.68,32276
12.77,145882
14.19,154733
1.24,29389
7.35,86184
7.69,212335
11.44,131231
2.95,47214
14.39,153311
13.76,145219
3.89,58170
1.72,29561
9.49,114671
5.43,24364
3.49,55307
4.82,68881
9.64,107555
7.57,98335
2.48,43401
11.42,131442
9.45,111331
14.75,158223
5.08,62255
8.71,103597
12.37,139127
12.75,138604
13.4,149924
34.89,320720
5.2,71180
5.56,72996
7.33,94024
0.76,23860
14.69,155006
10.58,121778
12.59,138936
7.59,89545
14.45,153934
3.53,57381
2.81,55714
12.98,143925
3.22,51180
14.85,159033
4.08,57188
4.74,72504
13.91,154065
1.68,45254
13.87,147442
1.53,42598
10.07,111867
10.05,118775
0.37,24708
9.59,108223
5.48,73730
8.39,102919
5.9,86558
4.56,63394
4.45,66331
11.33,128021
14.9,161530
11.81,126198
7.2,95018
31.21,373379
11.7,129795
13.26,149215
2.3,46631
13.91,143339
4.78,73480
1.87,39406
13.78,148887
2.42,54132
11.47,134213
8.94,103918
8.43,107035
2.57,40699
14.12,151458
12.25,139150
1.64,46076
9.33,107694
0.67,17279
7.95,93600
4.76,74256
2.07,33563
11.58,123714
9.95,106297
13.81,140408
13.21,138934
10.84,134744
10.47,216008
11.58,134035
7.98,87790
0.16,23325
12.65,139370
3.65,50901
12.02,130487
13.54,139341
2.19,41850
11.77,127690
7.4,97587
5.98,70969
10.65,61071
11.97,135636
11.08,128919
9.31,102931
14.42,158131
2.48,41426
6.57,82774
4.66,68594
11.71,132448
8.76,96135
11.08,120762
2.92,60248
12.8,143596
12.48,144567
6.19,67439
6.49,82744
2.72,48644
1.48,41633
14.74,164730
0.06,26594
9.09,104367
4.42,69870
7.21,99940
3.52,58103
10.9,121793
6.01,77163
12.01,136143
12.7,136925
14.19,156441
2.1,40870
8.86,110707
10.03,115415
2.95,52717
4.17,58450
0.47,26641
0.44,43568
6.02,70298
13.56,141450
4.45,70431
11.69,129652
8.11,99958
5.5,63610
7.17,97614
1.8,15000
6.18,92223
6.84,100576
11.92,136792
7.11,87032
1.32,27451
3.55,63402
8.92,108892
13.35,159200
7.45,84623
11.81,127680
2.05,48340
6.57,78955
14.38,149029
13.34,146473
7.23,84624
7.84,95444
6.28,85895
2.69,124737
12.62,281433
13.12,127829
3.8,57608
12.8,146079
4.65,79181
12.06,126954
1.6,41189
10.42,113971
1.83,33446
14.77,163866
8.36,95903
10.25,121046
3.14,59849
7.94,95975
7.35,89054
11.38,125339
10.55,114175
5.56,71645
4.57,67437
8.24,94866
12.54,137854
8.3,97231
7.36,97763
3.8,53505
3.47,46962
5.22,75794
3.04,46537
5.13,67006
6.39,73441
1.66,34621
6.58,76107
6.94,85603
0.91,15000
9.12,100958
2.1,44127
4.17,67666
12.88,141084
2.12,46856
9.24,110063
14.39,151701
7.88,97538
11.74,134677
13.86,146508
3.26,52847
7.57,94332
5.56,74716
14.51,156268
6.29,89005
1.88,33369
1.84,34484
12.91,141464
10.46,117731
0.21,17341
5.01,72924
10.62,114509
5.78,78852
13.54,153446
13.92,149340
9.93,110547
0.34,27046
0.74,33159
12.21,137080
11.26,124931
9.01,114649
11.3,121300
6.88,88789
8.03,98132
12.41,141059
1.08,35203
9.25,110976
14.63,275382
0.76,23191
10.5,115129
1.31,33611
4.27,63870
11.99,134042
1.5,38921
10.88,122178
8.29,95993
12.34,143938
14.04,155959
10.53,120224
6.48,81291
7.03,91629
9.78,101762
9.01,103032
6.76,91325
8.99,98380
10.81,122420
6.1,75084
9.05,102590
5.08,63866
2.48,42081
1.64,36173
12.5,137324
8.72,105282
1.53,35558
8.99,107410
9.24,119348
8.33,109621
7.96,101792
10.65,106297
0.29,22284
13.3,137529
8.67,98387
1.76,44519
2.23,44622
3.1,55935
0.86,42038
11.79,126120
10.08,112003
8.34,110043
12.77,228382
8.82,101455
0.08,21154
11.59,125473
5.09,67728
1.98,32412
13.64,147265
11.59,134624
0.87,42888
0.11,26687
10.31,112084
7.97,99496
11.76,129679
0.82,28097
2.6,47286
9.51,120389
8.47,107220
6.83,88492
3.0,54057
11.76,128138
6.58,84648
8.04,100337
8.33,102250
2.44,50327
4.72,56149
32.1,351086
6.28,80958
10.12,112441
27.79,272674
13.11,142586
6.25,83099
0.54,34204
12.03,134882
11.61,125773
5.69,220572
11.88,134167
1.2,27395
14.69,152692
5.82,71451
9.16,106763
14.96,163745
3.84,59574
7.41,95663
0.18,31242
9.84,15000
2.71,39752
7.22,94361
2.28,47618
1.51,38715
13.4,150711
10.21,111890
13.22,151002
6.55,88888
0.78,40713
13.88,154760
11.68,133475
9.09,114187
12.07,122947
7.1,87563
0.77,28614
7.48,88324
0.34,31070
0.64,35695
8.32,98590
2.31,47593
12.74,137731
12.47,131265
1.78,43325
12.88,139659
14.29,153950
8.42,101477
7.3,86726
14.04,159960
11.42,130838
7.34,94288
9.52,112125
3.51,51808
11.47,137293
8.77,107972
0.27,24037
4.0,55280
4.76,68233
14.0,148527
4.51,67455
8.14,103342
11.05,117654
8.72,109653
9.34,103052
0.07,33027
9.92,115687
12.49,141193
11.13,134204
1.45,39147
2.87,47725
6.88,90034
13.19,145716
11.02,126740
13.96,156239
0.03,21640
11.68,137478
14.11,153165
12.54,127365
10.58,123790
1.86,33618
13.64,142223
2.4,35862
1.27,24003
0.11,24310
12.56,137093
4.71,69025
1.45,39090
22.44,136957
13.81,143717
8.04,100826
14.92,161107
0.27,23915
34.05,317762
0.22,150124
9.17,114398
12.41,139890
2.78,47310
4.76,66173
5.5,69695
12.57,144040
10.07,117676
2.5,41333
7.07,88575
11.61,136243
0.8,39966
6.24,77211
13.97,142772
6.99,85104
14.7,164310
13.13,143466
9.66,114141
7.78,100197
5.0,79339
9.03,104317
11.01,126808
14.33,161668
7.24,97729
3.8,53370
3.56,59971
6.72,89991
1.57,41150
5.59,75040
6.53,81022
10.76,122611
10.51,112263
9.46,57871
5.66,72978
10.29,115734
0.56,25580
5.61,68625
0.73,37238
5.66,74426
6.12,71246
2.22,47146
1.36,44578
0.87,37740
8.69,104413
14.73,154370
6.52,87997
9.56,108469
11.68,124558
